Título Removido,Base Removido,DOI Removido,Título Mantido,Base Mantido,DOI Mantido
Constraint-Based Causal Discovery using Partial Ancestral Graphs in the presence of Cycles,OpenAlex,10.48550/arxiv.2005.00610,Constraint-Based Causal Discovery using Partial Ancestral Graphs in the\n presence of Cycles,OpenAlex,10.48550/arxiv.2005.00610
ICA-Bayesian Framework for Interpretable Educational Prediction: Disentangling Learning Behaviors with Causal Inference and Classroom Validation,OpenAlex,10.1145/3775073.3775156,ICA-Bayesian Framework for Interpretable Educational Prediction: Disentangling Learning Behaviors with Causal Inference and Classroom Validation,OpenAlex,10.1145/3775073.3775156
Constraint-Based Causal Discovery with Partial Ancestral Graphs in the presence of Cycles,OpenAlex,,Constraint-Based Causal Discovery using Partial Ancestral Graphs in the\n presence of Cycles,OpenAlex,10.48550/arxiv.2005.00610
From Causal Discovery to Dynamic Causal Inference in Neural Time Series,OpenAlex,,From Causal Discovery to Dynamic Causal Inference in Neural Time Series,OpenAlex,10.48550/arxiv.2603.20980
Learning virulence-transmission relationships using causal inference,OpenAlex,,Learning virulence-transmission relationships using causal inference,OpenAlex,10.48550/arxiv.2602.05196
Learning virulence-transmission relationships using causal inference,OpenAlex,,Learning virulence-transmission relationships using causal inference,OpenAlex,10.48550/arxiv.2602.05196
Causal Discovery from Conditionally Stationary Time Series,OpenAlex,,Causal Discovery from Conditionally Stationary Time Series,OpenAlex,10.48550/arxiv.2110.06257
Evaluating Causal Discovery Algorithms for Path-Specific Fairness and Utility in Healthcare,OpenAlex,,Evaluating Causal Discovery Algorithms for Path-Specific Fairness and Utility in Healthcare,OpenAlex,10.48550/arxiv.2603.15926
Latent Confounded Causal Discovery via Lie Bracket Geometry,OpenAlex,,Latent Confounded Causal Discovery via Lie Bracket Geometry,OpenAlex,10.48550/arxiv.2606.19610
From Local to Cluster: A Unified Framework for Causal Discovery with Latent Variables,OpenAlex,,From Local to Cluster: A Unified Framework for Causal Discovery with Latent Variables,OpenAlex,10.48550/arxiv.2604.22416
DCD: Decomposition-based Causal Discovery from Autocorrelated and Non-Stationary Temporal Data,OpenAlex,,DCD: Decomposition-based Causal Discovery from Autocorrelated and Non-Stationary Temporal Data,OpenAlex,10.48550/arxiv.2602.01433
Assessing robust prediction models without test datasets: A causal discovery approach on near-infrared spectra,OpenAlex,,Assessing robust prediction models without test datasets: A causal discovery approach on near-infrared spectra,OpenAlex,10.1016/j.chemolab.2024.105313
The Critical Role of Model Selection in Causal Inference: A Comparative Analysis of Classification Models within the InferBERT Framework for Pharmacovigilance,OpenAlex,,The Critical Role of Model Selection in Causal Inference: A Comparative Analysis of Classification Models within the InferBERT Framework for Pharmacovigilance,OpenAlex,10.48550/arxiv.2606.17113
"Hillclimb-Causal Inference: a data-driven approach to identify causal pathways among parental behaviors, genetic risk, and externalizing behaviors in children.",OpenAlex,,"Hillclimb-Causal Inference: a data-driven approach to identify causal pathways among parental behaviors, genetic risk, and externalizing behaviors in children",OpenAlex,10.1093/jamia/ocaf153
Test-Time Learning of Causal Structure from Interventional Data,OpenAlex,,Test-Time Learning of Causal Structure from Interventional Data,OpenAlex,10.48550/arxiv.2602.19131
Causal invariance in graphical models with latent variables,OpenAlex,,Causal invariance in graphical models with latent variables,OpenAlex,10.48550/arxiv.2606.13281
LLM-Assisted Causal Structure Disambiguation and Factor Extraction for Legal Judgment Prediction,OpenAlex,,LLM-Assisted Causal Structure Disambiguation and Factor Extraction for Legal Judgment Prediction,OpenAlex,10.48550/arxiv.2603.11446
Scalable Bayesian Network Structure Learning Using Tsetlin Machine to Constrain the Search Space,OpenAlex,,Scalable Bayesian Network Structure Learning Using Tsetlin Machine to Constrain the Search Space,OpenAlex,10.48550/arxiv.2511.19273
Leveraging Foundation Models for Causal Generative Modeling,OpenAlex,,Leveraging Foundation Models for Causal Generative Modeling,OpenAlex,10.48550/arxiv.2605.23861
From Correlation to Causation in Lane Change Prediction for Automated Driving: A Causal Explanation Framework,OpenAlex,,From Correlation to Causation in Lane Change Prediction for Automated Driving: A Causal Explanation Framework,OpenAlex,10.48550/arxiv.2606.15756
Invariant quantile regression for heterogeneous environments,OpenAlex,,Invariant quantile regression for heterogeneous environments,OpenAlex,10.48550/arxiv.2603.19745
Robust Weighted Triangulation of Causal Effects Under Model Uncertainty,OpenAlex,,Robust Weighted Triangulation of Causal Effects Under Model Uncertainty,OpenAlex,10.48550/arxiv.2603.01119
Investigating causality between principal components in protein dynamics,OpenAlex,,Investigating causality between principal components in protein dynamics,OpenAlex,10.48550/arxiv.2606.24283
Do Real-World Datasets Contain Natural Experiments? An Empirical Study Using Causal Feature Selection,OpenAlex,,Do Real-World Datasets Contain Natural Experiments? An Empirical Study Using Causal Feature Selection,OpenAlex,10.48550/arxiv.2606.03251
Reframed GES with a Neural Conditional Dependence Measure,OpenAlex,,Reframed GES with a Neural Conditional Dependence Measure,OpenAlex,10.48550/arxiv.2206.08531
CausalPulse: An Industrial-Grade Neurosymbolic Multi-Agent Copilot for Causal Diagnostics in Smart Manufacturing,OpenAlex,,CausalPulse: An Industrial-Grade Neurosymbolic Multi-Agent Copilot for Causal Diagnostics in Smart Manufacturing,OpenAlex,10.48550/arxiv.2603.29755
HCP-DCNet: A Hierarchical Causal Primitive Dynamic Composition Network for Self-Improving Causal Understanding,OpenAlex,,HCP-DCNet: A Hierarchical Causal Primitive Dynamic Composition Network for Self-Improving Causal Understanding,OpenAlex,10.48550/arxiv.2603.12305
"Concomitant DAG Learning: On the Roles of Noise Adaptivity, Sparsity, and Non-negativity",OpenAlex,,"Concomitant DAG Learning: On the Roles of Noise Adaptivity, Sparsity, and Non-negativity",OpenAlex,10.48550/arxiv.2605.23537
